summary_type,region,metric,mean,median,std,valid_case_count
region_stat,FN,residual_p75,-0.3687036782503128,-0.48134860396385193,0.3048068677174497,8
region_stat,FN,residual_p95,0.12801226665033028,0.04115656763315201,0.17823977818868864,8
region_stat,FN,residual_max,0.38231615722179413,0.31246188282966614,0.3041526416751656,8
region_stat,FP,probability_voxel_count,95356.125,51568.5,91946.85036127869,8
region_stat,FP,probability_mean,0.8827472031116486,0.8860357999801636,0.010838068125065126,8
region_stat,FP,probability_std,0.1420131828635931,0.14215177297592163,0.0032256811338022265,8
region_stat,FP,probability_min,0.5000395476818085,0.5000225305557251,6.022606948561876e-05,8
region_stat,FP,probability_p05,0.5684140995144844,0.5681480169296265,0.007089223570744781,8
region_stat,FP,probability_p25,0.8071513622999191,0.8144670724868774,0.023512036925140083,8
region_stat,FP,probability_median,0.9537220597267151,0.9578912258148193,0.01401969765719653,8
region_stat,FP,probability_p75,0.9918152540922165,0.9930199682712555,0.003132345674026627,8
region_stat,FP,probability_p95,0.9989157468080521,0.9989686608314514,0.0007486176543202304,8
region_stat,FP,probability_max,0.9999315515160561,0.9999414086341858,6.465038023343954e-05,8
region_stat,FP,raw_attention_voxel_count,95356.125,51568.5,91946.85036127869,8
region_stat,FP,raw_attention_mean,0.00045925490849185735,0.00042940283310599625,0.00015425394017229264,8
region_stat,FP,raw_attention_std,0.0004257213222444989,0.0003694756160257384,0.00017566886052803284,8
region_stat,FP,raw_attention_min,6.187955023051472e-05,5.620015326712746e-05,1.8610208730232717e-05,8
region_stat,FP,raw_attention_p05,0.00010282841685693711,0.00010505172394914553,2.5911010468483342e-05,8
region_stat,FP,raw_attention_p25,0.00016951419820543379,0.00017669490625848994,3.8063235045759716e-05,8
region_stat,FP,raw_attention_median,0.00028408915204636287,0.00028560683131217957,6.750172643849434e-05,8
region_stat,FP,raw_attention_p75,0.0005902212760702241,0.0005586963961832225,0.0002092624536422321,8
region_stat,FP,raw_attention_p95,0.001417583342117723,0.0012333878548815846,0.0005990013853537801,8
region_stat,FP,raw_attention_max,0.0026557358214631677,0.00264889735262841,0.0004981119720181122,8
region_stat,FP,rank_attention_voxel_count,95356.125,51568.5,91946.85036127869,8
region_stat,FP,rank_attention_mean,0.40055675245821476,0.4296942204236984,0.12709037783704386,8
region_stat,FP,rank_attention_std,0.3063469845801592,0.30741724371910095,0.03658896179619836,8
region_stat,FP,rank_attention_min,0.007603346707128367,0.002268408890813589,0.008675978108926464,8
